# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887210e-10       7.309026172911e-15       4.815171199968e-13       0.000000000000e+00       8.628903609647e-09       4.854772125132e-10      -2.515854151611e-12 
    3       1.409365943160e-10       1.238791651651e-14       6.068719691959e-13       0.000000000000e+00       5.411291720448e-09       3.469573585514e-10      -2.211507031147e-12 
    4       1.324622774428e-10       1.446512635931e-14       6.277976520576e-13       0.000000000000e+00       3.776588552321e-09       2.639785050814e-10      -1.764116067081e-12 
    5       1.257504767420e-10       1.337853519882e-14       5.879551647000e-13       0.000000000000e+00       2.821984229984e-09       2.093815839158e-10      -1.309529286441e-12 
    6       1.208053913249e-10       1.032310747924e-14       5.173990841439e-13       0.000000000000e+00       2.205212282908e-09       1.709429029052e-10      -8.948468925448e-13 
    7       1.173297571793e-10       6.841600365876e-15       4.365335862025e-13       0.000000000000e+00       1.778233642563e-09       1.425663900771e-10      -5.443860557744e-13 
    8       1.150037074268e-10       4.042374146249e-15       3.576623511397e-13       0.000000000000e+00       1.468351550612e-09       1.208855287041e-10      -2.689334595821e-13 
    9       1.135829010676e-10       2.336357197398e-15       2.880590507289e-13       0.000000000000e+00       1.235838580484e-09       1.038809735205e-10      -7.009986710377e-14 
   10       1.128526891660e-10       1.571653533687e-15       2.317799681295e-13       0.000000000000e+00       1.056623420589e-09       9.029297738437e-11       5.745597591791e-14 
   11       1.126728149357e-10       1.345905907612e-15       1.905574141939e-13       0.000000000000e+00       8.886898863579e-10       7.950622621205e-11       1.233291888107e-13 
   12       1.129346479159e-10       1.288312421122e-15       1.640636561743e-13       0.000000000000e+00       7.765278491923e-10       7.028426672917e-11       1.421600854593e-13 
   13       1.135181529486e-10       1.200674797102e-15       1.505300363055e-13       0.000000000000e+00       6.844563324660e-10       6.274647521793e-11       1.277329345112e-13 
   14       1.143248537164e-10       1.054790798632e-15       1.474046706733e-13       0.000000000000e+00       6.078507020103e-10       5.620932691678e-11       9.279532800198e-14 
   15       1.153611555820e-10       9.105397340069e-16       1.516730192898e-13       0.000000000000e+00       5.433693948320e-10       5.074770630671e-11       4.959311354153e-14 
   16       1.165881727235e-10       8.293959318796e-16       1.602914709962e-13       0.000000000000e+00       4.885455303803e-10       4.611880685963e-11       7.232456990711e-15 
   17       1.179228768537e-10       8.287731533342e-16       1.707806936782e-13       0.000000000000e+00       4.415155572866e-10       4.212235068535e-11      -2.792920703276e-14 
   18       1.193693330932e-10       8.811664361848e-16       1.812740701487e-13       0.000000000000e+00       4.006946005706e-10       3.857273461184e-11      -5.233421672036e-14 
   19       1.209354735891e-10       9.538926646958e-16       1.907919251559e-13       0.000000000000e+00       3.654375301951e-10       3.544037677889e-11      -6.510245763352e-14 
   20       1.225654212357e-10       1.013472815647e-15       1.985909989867e-13       0.000000000000e+00       3.343837601819e-10       3.267209105919e-11      -6.706958872952e-14 
   21       1.242710988840e-10       1.062834165227e-15       2.047508483995e-13       0.000000000000e+00       3.070458375820e-10       3.022365555566e-11      -6.038518073726e-14 
   22       1.260522065964e-10       1.120089788912e-15       2.097242388126e-13       0.000000000000e+00       2.827706819936e-10       2.801369668284e-11      -4.840846306895e-14 
   23       1.278979535803e-10       1.204635700184e-15       2.139590306845e-13       0.000000000000e+00       2.612248132387e-10       2.601113570530e-11      -3.407762214460e-14 
   24       1.297762580423e-10       1.335071215299e-15       2.179755427400e-13       0.000000000000e+00       2.419102418006e-10       2.418236731247e-11      -2.047693838631e-14 
