# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442760257e-10       7.309265059082e-15       4.815171148059e-13       2.388861386189e-19       8.628903609647e-09       4.854772125132e-10      -2.515854151611e-12 
    3       1.409375667405e-10       1.238839452131e-14       6.068719461071e-13       4.780044827561e-19       5.411291720448e-09       3.469573585514e-10      -2.211507031147e-12 
    4       1.324638933497e-10       1.446592354286e-14       6.277975858835e-13       7.971819733150e-19       3.776588552321e-09       2.639785050814e-10      -1.764116067081e-12 
    5       1.257528917308e-10       1.337973190998e-14       5.879550144250e-13       1.196705775308e-18       2.821984229984e-09       2.093815839158e-10      -1.309529286441e-12 
    6       1.208087576670e-10       1.032478441014e-14       5.173987897660e-13       1.676916278377e-18       2.205212282908e-09       1.709429029052e-10      -8.948468925448e-13 
    7       1.173342233295e-10       6.843838595490e-15       4.365330660508e-13       2.238195814224e-18       1.778233642563e-09       1.425663900771e-10      -5.443860557744e-13 
    8       1.150094176214e-10       4.045255171788e-15       3.576614997193e-13       2.880956154447e-18       1.468351550612e-09       1.208855287041e-10      -2.689334595821e-13 
    9       1.135899950170e-10       2.339962952410e-15       2.880577371199e-13       3.605625283111e-18       1.235838580484e-09       1.038809735205e-10      -7.009986710377e-14 
   10       1.128613018427e-10       1.576066392491e-15       2.317780349453e-13       4.412633965590e-18       1.056623420589e-09       9.029297738437e-11       5.745597591791e-14 
   11       1.126830764605e-10       1.351208675939e-15       1.905546770801e-13       5.302402641179e-18       8.886898863579e-10       7.950622621205e-11       1.233291888107e-13 
   12       1.129466835387e-10       1.294588313382e-15       1.640599038085e-13       6.275329151576e-18       7.765278491923e-10       7.028426672917e-11       1.421600854593e-13 
   13       1.135320831181e-10       1.208007401078e-15       1.505250308413e-13       7.331777781071e-18       6.844563324660e-10       6.274647521793e-11       1.277329345112e-13 
   14       1.143407942300e-10       1.063264028842e-15       1.473981485530e-13       8.472070028701e-18       6.078507020103e-10       5.620932691678e-11       9.279532800198e-14 
   15       1.153792178063e-10       9.202377752943e-16       1.516646923420e-13       9.696477460028e-18       5.433693948320e-10       5.074770630671e-11       4.959311354153e-14 
   16       1.166084638722e-10       8.404031751104e-16       1.602810277266e-13       1.100521689942e-17       4.885455303803e-10       4.611880685963e-11       7.232456990711e-15 
   17       1.179455003083e-10       8.411741252909e-16       1.707678006586e-13       1.239844812646e-17       4.415155572866e-10       4.212235068535e-11      -2.792920703276e-14 
   18       1.193943887594e-10       8.950457249309e-16       1.812583734609e-13       1.387627291008e-17       4.006946005706e-10       3.857273461184e-11      -5.233421672036e-14 
   19       1.209630582338e-10       9.693348484709e-16       1.907730515241e-13       1.543874391616e-17       3.654375301951e-10       3.544037677889e-11      -6.510245763352e-14 
   20       1.225956288936e-10       1.030562382149e-15       1.985685572763e-13       1.708585645261e-17       3.343837601819e-10       3.267209105919e-11      -6.706958872952e-14 
